Record Date,Country - Currency Description,Exchange Rate,Effective Date
12/31/19,Jamaica-Dollar,136,12/31/19
12/31/19,Mauritius-Rupee,36.2,12/31/19
12/31/19,Haiti-Gourde,87.655,12/31/19
12/31/19,Japan-Yen,108.53,12/31/19
12/31/19,Sudan-Pound,51.5,12/31/19
12/31/19,Timor-Leste-Dili,1,12/31/19
12/31/19,Liberia-Dollar,186.99,12/31/19
12/31/19,Micronesia-U.S. Dollar,1,12/31/19
12/31/19,China-Renminbi,6.961,12/31/19
12/31/19,Senegal-CFA Franc,582,12/31/19
12/31/19,Netherland-Euro,0.89,12/31/19
12/31/19,Colombia-Peso,4021,12/31/19
12/31/19,Netherlands Antilles-Guilder,1.78,12/31/19
12/31/19,Togo-CFA Franc,582,12/31/19
12/31/19,Honduras-Lempira,25,12/31/19
12/31/19,Western Samoa-Tala,2.537,12/31/19
12/31/19,Mauritania-Ouguiya,37,12/31/19
12/31/19,Yemen-Rial,480,12/31/19
12/31/19,Serbia-Dinar,104.92,12/31/19
12/31/19,Tonga-Pa'anga,2.209,12/31/19
12/31/19,New Zealand-Dollar,1.65,12/31/19
12/31/19,Comoros-Franc,439.06,12/31/19
12/31/19,Hong Kong-Dollar,7.786,12/31/19
12/31/19,Jerusalem-Shekel,3.454,12/31/19
12/31/19,Oman-Rial,0.385,12/31/19
12/31/19,Ecuador-Dolares,1,12/31/19
12/31/19,Jordan-Dinar,0.708,12/31/19
12/31/19,Nicaragua-Cordoba,33.8,12/31/19
12/31/19,Niger-CFA Franc,582,12/31/19
12/31/19,Suriname-Dollar,7.52,12/31/19
12/31/19,Trinidad & Tobago-Dollar,6.697,12/31/19
12/31/19,Nigeria-Naira,361,12/31/19
12/31/19,Tunisia-Dinar,2.772,12/31/19
12/31/19,United Arab Emirates-Dirham,3.673,12/31/19
12/31/19,Norway-Krone,10.243,12/31/19
12/31/19,Kazakhstan-Tenge,381.18,12/31/19
12/31/19,Congo-CFA Franc,578.12,12/31/19
12/31/19,Hungary-Forint,294.29,12/31/19
12/31/19,Pakistan-Rupee,154.85,12/31/19
12/31/19,Egypt-Pound,16,12/31/19
12/31/19,Kenya-Shilling,101.25,12/31/19
12/31/19,Libya-Dinar,1.396,12/31/19
12/31/19,Iceland-Krona,135.13,12/31/19
12/31/19,Korea-Won,1153.7,12/31/19
12/31/19,Panama-Balboa,1,12/31/19
12/31/19,Panama-Dolares,1,12/31/19
12/31/19,Mexico-Peso,22.491,12/31/19
12/31/19,Turkey-New Lira,5.942,12/31/19
12/31/19,Kosovo-Euro,0.89,12/31/19
12/31/19,Swaziland-Langeni,15.574,12/31/19
12/31/19,El Salvador-Dollar,1,12/31/19
12/31/19,United Kingdom-Pound,0.758,12/31/19
12/31/19,Equatorial Guinea-CFA Franc,578.12,12/31/19
12/31/19,Lithuania-Euro,0.89,12/31/19
12/31/19,Peru-Sol,3.314,12/31/19
12/31/19,Uruguay-Peso,43.41,12/31/19
12/31/19,Seychelles-Rupee,13.62,12/31/19
12/31/19,Sweden-Krona,9.301,12/31/19
12/31/19,Moldova-LEU,17.1,12/31/19
12/31/19,Philippines-Peso,50.64,12/31/19
12/31/19,Poland-Zloty,3.789,12/31/19
12/31/19,Turkmenistan-New Manat,3.491,12/31/19
12/31/19,Qatar-Riyal,3.64,12/31/19
12/31/19,India-Rupee,71,12/31/19
12/31/19,Indonesia-Rupiah,13895,12/31/19
12/31/19,Uganda-Shilling,3660,12/31/19
12/31/19,Eritrea-Nakfa,15,12/31/19
12/31/19,Mongolia-Tugrik,2733.52,12/31/19
12/31/19,Rep. of N Macedonia-Dinar,54.76,12/31/19
12/31/19,Switzerland-Franc,0.966,12/31/19
12/31/19,Zambia-New Kwacha,16.09,12/31/19
12/31/19,Montenegro-Euro,0.89,12/31/19
12/31/19,Syria-Pound,435,12/31/19
12/31/19,Kuwait-Dinar,0.303,12/31/19
12/31/19,Costa Rica-Colon,569.65,12/31/19
12/31/19,Morocco-Dirham,9.597,12/31/19
12/31/19,Republic of Palau-Dollar,1,12/31/19
12/31/19,South Africa-Rand,15.574,12/31/19
12/31/19,Eritrea-Nakfa Salary Payment,15,12/31/19
12/31/19,Taiwan-Dollar,29.942,12/31/19
12/31/19,Sierra Leone-Leone,9639.5898,12/31/19
12/31/19,Ukraine-Hryvnia,26.6,12/31/19
12/31/19,Uzbekistan-Som,9500,12/31/19
12/31/19,Vanuatu-Vatu,112.8,12/31/19
12/31/19,Papua New Guinea-Kina,3.311,12/31/19
12/31/19,Kyrgyzstan-Som,69.6,12/31/19
12/31/19,Luxembourg-Euro,0.89,12/31/19
12/31/19,Mozambique-Metical,60.85,12/31/19
12/31/19,Singapore-Dollar,1.345,12/31/19
12/31/19,South-Sudanese-Pound,160,12/31/19
12/31/19,Cote D'ivoire-CFA Franc,582,12/31/19
12/31/19,Zimbabwe-RTGS,16.28,12/31/19
12/31/19,Iran-Rial,42000,12/31/19
12/31/19,Madagascar-Ariary,3627.2,12/31/19
12/31/19,Nambia-Dollar,15.574,12/31/19
12/31/19,Paraguay-Guarani,6442.3301,12/31/19
12/31/19,Nepal-Rupee,113.75,12/31/19
12/31/19,Albania-Lek,108.21,12/31/19
12/31/19,Algeria-Dinar,118.78,12/31/19
12/31/19,Angola-Kwanza,475,12/31/19
12/31/19,Antigua & Barbuda-E. Caribbean Dollar,2.7,12/31/19
12/31/19,Argentina-Peso,59.87,12/31/19
12/31/19,Armenia-Dram,475,12/31/19
12/31/19,Austria-Euro,0.89,12/31/19
12/31/19,Azerbaijan-Manat,1.7,12/31/19
12/31/19,Bahamas-Dollar,1,12/31/19
12/31/19,Bahrain-Dinar,0.377,12/31/19
12/31/19,Bangladesh-Taka,85,12/31/19
12/31/19,Barbados-Dollar,2.02,12/31/19
12/31/19,Belarus-New Ruble,2.34,12/31/19
12/31/19,Belgium-Euro,0.89,12/31/19
12/31/19,Belize-Dollar,2,12/31/19
12/31/19,Benin-CFA Franc,582,12/31/19
12/31/19,Bermuda-Dollar,1,12/31/19
12/31/19,Bolivia-Boliviano,6.83,12/31/19
12/31/19,Bosnia-Marka,1.741,12/31/19
12/31/19,Botswana-Pula,10.549,12/31/19
12/31/19,Brazil-Real,4.475,12/31/19
12/31/19,Brunei-Dollar,1.345,12/31/19
12/31/19,Bulgaria-Lev New,1.741,12/31/19
12/31/19,Burkina Faso-CFA Franc,582,12/31/19
12/31/19,Croatia-KUNA,6.49,12/31/19
12/31/19,Cross Border-Euro,0.89,12/31/19
12/31/19,Cuba-Chavito,1,12/31/19
12/31/19,Cyprus-Euro,0.89,12/31/19
12/31/19,Czech. Republic-Koruna,22.165,12/31/19
12/31/19,Dem. Rep. of Congo-Franc,1650,12/31/19
12/31/19,Denmark-Krone,6.652,12/31/19
12/31/19,Ethiopia-Birr,31.8,12/31/19
12/31/19,Euro Zone-Euro,0.89,12/31/19
12/31/19,Fiji-Dollar,2.142,12/31/19
12/31/19,Finland-Euro,0.89,12/31/19
12/31/19,France-Euro,0.89,12/31/19
12/31/19,Gabon-CFA Franc,578.12,12/31/19
12/31/19,Australia-Dollar,1.425,12/31/19
9/30/19,AFGHANISTAN-AFGHANI,77.53,9/30/19
9/30/19,ALBANIA-LEK,111.35,9/30/19
9/30/19,ALGERIA-DINAR,120.43,9/30/19
9/30/19,ANGOLA-KWANZA,365,9/30/19
9/30/19,ANTIGUA-BARBUDA-E. CARIBBEAN DOLLAR,2.7,9/30/19
9/30/19,ARGENTINA-PESO,57.32,9/30/19
9/30/19,ARMENIA-DRAM,475,9/30/19
9/30/19,AUSTRALIA-DOLLAR,1.481,9/30/19
9/30/19,AUSTRIA-EURO,0.917,9/30/19
9/30/19,AZERBAIJAN-NEW MANAT,1.7,9/30/19
9/30/19,BAHAMAS-DOLLAR,1,9/30/19
9/30/19,BAHRAIN-DINAR,0.377,9/30/19
9/30/19,BANGLADESH-TAKA,84,9/30/19
9/30/19,BARBADOS-DOLLAR,2.02,9/30/19
9/30/19,BELARUS-NEW RUBLE,2.074,9/30/19
9/30/19,BELGIUM-EURO,0.917,9/30/19
9/30/19,BELIZE-DOLLAR,2,9/30/19
9/30/19,BENIN-CFA FRANC,596,9/30/19
9/30/19,BERMUDA-DOLLAR,1,9/30/19
9/30/19,BOLIVIA-BOLIVIANO,6.84,9/30/19
9/30/19,BOSNIA-MARKA,1.794,9/30/19
9/30/19,BOTSWANA-PULA,11.001,9/30/19
9/30/19,BRAZIL-REAL,4.159,9/30/19
9/30/19,BRUNEI-DOLLAR,1.383,9/30/19
9/30/19,BULGARIA-LEV New,1.794,9/30/19
9/30/19,BURKINA FASO-CFA FRANC,596,9/30/19
9/30/19,BURMA-KYAT,1520,9/30/19
9/30/19,BURUNDI-FRANC,1810,9/30/19
9/30/19,CAMBODIA (KHMER)-RIEL,4051,9/30/19
9/30/19,CAMEROON-CFA FRANC,618.63,9/30/19
9/30/19,CANADA-DOLLAR,1.325,9/30/19
9/30/19,CAPE VERDE-ESCUDO,99.291,9/30/19
9/30/19,CAYMAN ISLANDS-DOLLAR,0.82,9/30/19
9/30/19,CENTRAL AFRICAN REPUBLIC-CFA FRANC,618.63,9/30/19
9/30/19,CHAD-CFA FRANC,618.63,9/30/19
9/30/19,CHILE-PESO,728.1,9/30/19
9/30/19,COLOMBIA-PESO,3455.55,9/30/19
9/30/19,COMOROS-FRANC,448.8,9/30/19
9/30/19,CONGO-CFA FRANC,618.63,9/30/19
9/30/19,COSTA RICA-COLON,579.9,9/30/19
9/30/19,COTE D'IVOIRE-CFA FRANC,596,9/30/19
9/30/19,CROATIA-KUNA,6.62,9/30/19
9/30/19,CUBA-Chavito,1,9/30/19
9/30/19,CYPRUS-EURO,0.917,9/30/19
9/30/19,CZECH REPUBLIC-KORUNA,23.054,9/30/19
9/30/19,Cross Border-Euro,0.917,9/30/19
9/30/19,DEMOCRATIC REPUBLIC OF CONGO-FRANC,1650,9/30/19
9/30/19,DENMARK-KRONE,6.851,9/30/19
9/30/19,DJIBOUTI-FRANC,177,9/30/19
9/30/19,DOMINICAN REPUBLIC-PESO,51.89,9/30/19
9/30/19,ECUADOR-DOLARES,1,9/30/19
9/30/19,EGYPT-POUND,16.265,9/30/19
9/30/19,EL SALVADOR-DOLARES,1,9/30/19
9/30/19,EQUATORIAL GUINEA-CFA FRANC,618.63,9/30/19
9/30/19,ERITREA-NAKFA,15,9/30/19
9/30/19,ESTONIA-EURO,0.917,9/30/19
9/30/19,ETHIOPIA-BIRR,29.28,9/30/19
9/30/19,EURO ZONE-EURO,0.917,9/30/19
9/30/19,FIJI-DOLLAR,2.161,9/30/19
9/30/19,FINLAND-EURO,0.917,9/30/19
9/30/19,FRANCE-EURO,0.917,9/30/19
9/30/19,GABON-CFA FRANC,618.63,9/30/19
9/30/19,GAMBIA-DALASI,50,9/30/19
9/30/19,CHINA-RENMINBI,7.143,9/30/19
9/30/19,GEORGIA-LARI,2.97,9/30/19
9/30/19,GERMANY EURO,0.917,9/30/19
9/30/19,GHANA-CEDI,5.42,9/30/19
9/30/19,GREECE-EURO,0.917,9/30/19
9/30/19,GRENADA-EAST CARIBBEAN DOLLAR,2.7,9/30/19
9/30/19,GUATEMALA-QUETZAL,7.72,9/30/19
9/30/19,GUINEA BISSAU-CFA FRANC,596,9/30/19
9/30/19,GUINEA-FRANC,9230,9/30/19
9/30/19,GUYANA-DOLLAR,215,9/30/19
9/30/19,HAITI-GOURDE,93.654,9/30/19
9/30/19,HONDURAS-LEMPIRA,25,9/30/19
9/30/19,HONG KONG-DOLLAR,7.84,9/30/19
9/30/19,HUNGARY-FORINT,307.06,9/30/19
9/30/19,ICELAND-KRONA,123.82,9/30/19
9/30/19,INDIA-RUPEE,70.2,9/30/19
9/30/19,INDONESIA-RUPIAH,14115,9/30/19
9/30/19,IRAN-RIAL,42000,9/30/19
9/30/19,IRAQ-DINAR,1138,9/30/19
9/30/19,IRELAND-EURO,0.917,9/30/19
9/30/19,ISRAEL-SHEKEL,3.475,9/30/19
9/30/19,ITALY-EURO,0.917,9/30/19
9/30/19,JAMAICA-DOLLAR,136,9/30/19
9/30/19,JAPAN-YEN,108.02,9/30/19
9/30/19,JERUSALEM-SHEKEL,3.475,9/30/19
9/30/19,JORDAN-DINAR,0.708,9/30/19
9/30/19,KAZAKHSTAN-TENGE,387.63,9/30/19
9/30/19,KENYA-SHILLING,103.75,9/30/19
9/30/19,KOREA-WON,1198.2,9/30/19
9/30/19,KOSOVO-EURO,0.917,9/30/19
9/30/19,KUWAIT-DINAR,0.304,9/30/19
9/30/19,KYRGYZSTAN-SOM,69.8,9/30/19
9/30/19,LAOS-KIP,8810,9/30/19
9/30/19,LATVIA-EURO,0.917,9/30/19
9/30/19,LEBANON-POUND,1500,9/30/19
9/30/19,LESOTHO-SOUTH AFRICAN RAND,15.195,9/30/19
9/30/19,LIBERIA-DOLLAR,208.44,9/30/19
9/30/19,LIBYA-DINAR,1.413,9/30/19
9/30/19,LITHUANIA-EURO,0.917,9/30/19
9/30/19,LUXEMBOURG-EURO,0.917,9/30/19
9/30/19,MADAGASCAR-Ariary,3734.6,9/30/19
9/30/19,MALAWI-KWACHA,760,9/30/19
9/30/19,MALAYSIA-RINGGIT,4.185,9/30/19
9/30/19,MALDIVES-RUFIYAA,15.42,9/30/19
9/30/19,MALI-CFA FRANC,596,9/30/19
9/30/19,MALTA-EURO,0.917,9/30/19
9/30/19,MARSHALLS ISLANDS-DOLLAR,1,9/30/19
9/30/19,MAURITANIA-OUGUIYA,36,9/30/19
9/30/19,MAURITIUS-RUPEE,36.1,9/30/19
9/30/19,MEXICO-PESO,19.725,9/30/19
9/30/19,MICRONESIA-DOLLAR,1,9/30/19
9/30/19,MOLDOVA-LEU,17.66,9/30/19
9/30/19,MONTENEGRO-EURO,0.917,9/30/19
9/30/19,MOROCCO-DIRHAM,9.74,9/30/19
9/30/19,MOZAMBIQUE-METICAL,61.3,9/30/19
9/30/19,NAMIBIA-DOLLAR,15.195,9/30/19
9/30/19,NEPAL-RUPEE,113.15,9/30/19
9/30/19,NETHERLANDS ANTILLES-GUILDER,1.78,9/30/19
9/30/19,NETHERLANDS-EURO,0.917,9/30/19
9/30/19,NEW ZEALAND-DOLLAR,1.595,9/30/19
9/30/19,NICARAGUA-CORDOBA,33.45,9/30/19
9/30/19,NIGER-CFA FRANC,596,9/30/19
9/30/19,NIGERIA-NAIRA,361,9/30/19
9/30/19,NORWAY-KRONE,9.088,9/30/19
9/30/19,PAKISTAN-RUPEE,156,9/30/19
9/30/19,PALAU-DOLLAR,1,9/30/19
9/30/19,PANAMA-BALBOA,1,9/30/19
9/30/19,PAPUA NEW GUINEA-KINA,3.317,9/30/19
9/30/19,PARAGUAY-GUARANI,6378.6099,9/30/19
9/30/19,PERU-SOL,3.38,9/30/19
9/30/19,PHILIPPINES-PESO,51.901,9/30/19
9/30/19,POLAND-ZLOTY,4.015,9/30/19
9/30/19,PORTUGAL-EURO,0.917,9/30/19
9/30/19,QATAR-RIYAL,3.642,9/30/19
9/30/19,ROMANIA-NEW LEU,4.357,9/30/19
9/30/19,RUSSIA-RUBLE,64.965,9/30/19
9/30/19,RWANDA-FRANC,910,9/30/19
9/30/19,Rep. of N Macedonia-Dinar,56.24,9/30/19
9/30/19,Republic of Palau-Dollar,1,9/30/19
9/30/19,MONGOLIA-TUGRIK,2667.6399,9/30/19
9/30/19,OMAN-RIAL,0.385,9/30/19
9/30/19,SAO TOME & PRINCIPE-NEW DOBRAS,22.31,9/30/19
9/30/19,SAUDI ARABIA-RIYAL,3.75,9/30/19
9/30/19,SENEGAL-CFA FRANC,596,9/30/19
9/30/19,SERBIA-DINAR,107.43,9/30/19
9/30/19,SEYCHELLES-RUPEE,13.62,9/30/19
9/30/19,SIERRA LEONE-LEONE,9348,9/30/19
9/30/19,SINGAPORE-DOLLAR,1.383,9/30/19
9/30/19,SLOVAK REPUBLIC-EURO,0.917,9/30/19
9/30/19,SLOVENIA-EURO,0.917,9/30/19
9/30/19,SOLOMON ISLANDS-DOLLAR,7.752,9/30/19
9/30/19,SOMALI-SHILLING,575,9/30/19
9/30/19,SOUTH AFRICA-RAND,15.195,9/30/19
9/30/19,SOUTH SUDANESE-POUND,159.82,9/30/19
9/30/19,SRI LANKA-RUPEE,182,9/30/19
9/30/19,ST LUCIA-EC DOLLAR,2.7,9/30/19
9/30/19,SUDAN-SUDANESE POUND,45,9/30/19
9/30/19,SURINAME-GUILDER,7.52,9/30/19
9/30/19,SWAZILAND-LILANGENI,15.195,9/30/19
9/30/19,SWEDEN-KRONA,9.818,9/30/19
9/30/19,SWITZERLAND-FRANC,0.997,9/30/19
9/30/19,SYRIA-POUND,435,9/30/19
9/30/19,TAIWAN-DOLLAR,31.052,9/30/19
9/30/19,TAJIKISTAN-SOMONI,9.65,9/30/19
9/30/19,TANZANIA-SHILLING,2293,9/30/19
9/30/19,THAILAND-BAHT,30.6,9/30/19
9/30/19,TIMOR-LESTE DILI,1,9/30/19
9/30/19,TOGO-CFA FRANC,596,9/30/19
9/30/19,TONGA-PA'ANGA,2.222,9/30/19
9/30/19,TRINIDAD & TOBAGO-DOLLAR,6.711,9/30/19
9/30/19,TUNISIA-DINAR,2.857,9/30/19
9/30/19,TURKEY-New LIRA,5.647,9/30/19
9/30/19,TURKMENISTAN-NEW MANAT,3.491,9/30/19
9/30/19,UGANDA-SHILLING,3678,9/30/19
9/30/19,UKRAINE-HRYVNIA,24.31,9/30/19
9/30/19,UNITED ARAB EMIRATES-DIRHAM,3.673,9/30/19
9/30/19,UNITED KINGDOM-POUND STERLING,0.812,9/30/19
9/30/19,URUGUAY-PESO,36.84,9/30/19
9/30/19,UZBEKISTAN-SOM,9400,9/30/19
9/30/19,VANUATU-VATU,115.34,9/30/19
9/30/19,VENEZUELA-BOLIVAR-FUERTE,248832,9/30/19
9/30/19,VENEZUELA-BOLIVAR-SOBERANO,21028.08,9/30/19
9/30/19,VIETNAM-DONG,23200,9/30/19
9/30/19,WESTERN SAMOA-TALA,2.543,9/30/19
9/30/19,YEMEN-RIAL,480,9/30/19
9/30/19,ZAMBIA-NEW KWACHA,13.115,9/30/19
9/30/19,ZIMBABWE-DOLLAR,0,9/30/19
9/30/19,ZIMBABWE-RTGS,14.67,9/30/19
9/30/19,SPAIN-EURO,0.917,9/30/19
6/30/19,AFGHANISTAN-AFGHANI,79.912,6/30/19
6/30/19,ALBANIA-LEK,107.6,6/30/19
6/30/19,ALGERIA-DINAR,118.571,6/30/19
6/30/19,ANGOLA-KWANZA,340,6/30/19
6/30/19,ANTIGUA-BARBUDA-E. CARIBBEAN DOLLAR,2.7,6/30/19
6/30/19,ARGENTINA-PESO,42.69,6/30/19
6/30/19,ARMENIA-DRAM,480,6/30/19
6/30/19,AUSTRALIA-DOLLAR,1.427,6/30/19
6/30/19,AUSTRIA-EURO,0.879,6/30/19
6/30/19,AZERBAIJAN-NEW MANAT,1.7,6/30/19
6/30/19,BAHAMAS-DOLLAR,1,6/30/19
6/30/19,BAHRAIN-DINAR,0.377,6/30/19
6/30/19,BANGLADESH-TAKA,84,6/30/19
6/30/19,BARBADOS-DOLLAR,2.02,6/30/19
6/30/19,BELARUS-NEW RUBLE,2.02,6/30/19
6/30/19,BELGIUM-EURO,0.879,6/30/19
6/30/19,BELIZE-DOLLAR,2,6/30/19
6/30/19,BENIN-CFA FRANC,573.5,6/30/19
6/30/19,BERMUDA-DOLLAR,1,6/30/19
6/30/19,BOLIVIA-BOLIVIANO,6.86,6/30/19
6/30/19,BOSNIA-MARKA,1.72,6/30/19
6/30/19,BOTSWANA-PULA,10.582,6/30/19
6/30/19,BRAZIL-REAL,3.819,6/30/19
6/30/19,BRUNEI-DOLLAR,1.353,6/30/19
6/30/19,BULGARIA-LEV,1.72,6/30/19
6/30/19,BURKINA FASO-CFA FRANC,573.5,6/30/19
6/30/19,BURMA-KYAT,1508,6/30/19
6/30/19,BURUNDI-FRANC,1810,6/30/19
6/30/19,CAMBODIA (KHMER)-RIEL,4051,6/30/19
6/30/19,CAMEROON-CFA FRANC,576.1,6/30/19
6/30/19,CANADA-DOLLAR,1.309,6/30/19
6/30/19,CAPE VERDE-ESCUDO,97.045,6/30/19
6/30/19,CAYMAN ISLANDS-DOLLAR,0.82,6/30/19
6/30/19,CENTRAL AFRICAN REPUBLIC-CFA FRANC,576.1,6/30/19
6/30/19,CHAD-CFA FRANC,576.1,6/30/19
6/30/19,CHILE-PESO,678.8,6/30/19
6/30/19,CHINA-RENMINBI,6.869,6/30/19
6/30/19,COLOMBIA-PESO,3196.15,6/30/19
6/30/19,COMOROS-FRANC,433.02,6/30/19
6/30/19,CONGO-CFA FRANC,576.1,6/30/19
6/30/19,COSTA RICA-COLON,581.3,6/30/19
6/30/19,COTE D'IVOIRE-CFA FRANC,573.5,6/30/19
6/30/19,CROATIA-KUNA,6.35,6/30/19
6/30/19,CUBA-PESO,1,6/30/19
6/30/19,CYPRUS-EURO,0.829,6/30/19
6/30/19,CZECH REPUBLIC-KORUNA,21.829,6/30/19
6/30/19,DEMOCRATIC REPUBLIC OF CONGO-FRANC,1650,6/30/19
6/30/19,DJIBOUTI-FRANC,177,6/30/19
6/30/19,DOMINICAN REPUBLIC-PESO,50.45,6/30/19
6/30/19,ECUADOR-DOLARES,1,6/30/19
6/30/19,EGYPT-POUND,16.66,6/30/19
6/30/19,EL SALVADOR-DOLARES,1,6/30/19
6/30/19,EQUATORIAL GUINEA-CFA FRANC,576.1,6/30/19
6/30/19,ERITREA-NAKFA,15,6/30/19
6/30/19,ESTONIA-EURO,0.879,6/30/19
6/30/19,ETHIOPIA-BIRR,28.9,6/30/19
6/30/19,EURO ZONE-EURO,0.879,6/30/19
6/30/19,FIJI-DOLLAR,2.105,6/30/19
6/30/19,FINLAND-EURO,0.879,6/30/19
6/30/19,FRANCE-EURO,0.879,6/30/19
6/30/19,GABON-CFA FRANC,576.1,6/30/19
6/30/19,GAMBIA-DALASI,50,6/30/19
6/30/19,GEORGIA-LARI,2.88,6/30/19
6/30/19,GERMANY EURO,0.879,6/30/19
6/30/19,GHANA-CEDI,5.41,6/30/19
6/30/19,GREECE-EURO,0.879,6/30/19
6/30/19,GRENADA-EAST CARIBBEAN DOLLAR,2.7,6/30/19
6/30/19,GUATEMALA-QUETZAL,7.69,6/30/19
6/30/19,GUINEA BISSAU-CFA FRANC,573.5,6/30/19
6/30/19,GUINEA-FRANC,9154,6/30/19
6/30/19,GUYANA-DOLLAR,215,6/30/19
6/30/19,DENMARK-KRONE,6.562,6/30/19
6/30/19,HAITI-GOURDE,93.157,6/30/19
6/30/19,HONDURAS-LEMPIRA,25,6/30/19
6/30/19,HONG KONG-DOLLAR,7.809,6/30/19
6/30/19,HUNGARY-FORINT,284.2,6/30/19
6/30/19,ICELAND-KRONA,124.52,6/30/19
6/30/19,INDIA-RUPEE,68.6,6/30/19
6/30/19,INDONESIA-RUPIAH,14115,6/30/19
6/30/19,IRAN-RIAL,42000,6/30/19
6/30/19,IRAQ-DINAR,1138,6/30/19
6/30/19,IRELAND-EURO,0.879,6/30/19
6/30/19,ISRAEL-SHEKEL,3.567,6/30/19
6/30/19,ITALY-EURO,0.879,6/30/19
6/30/19,JAMAICA-DOLLAR,132,6/30/19
6/30/19,JAPAN-YEN,107.73,6/30/19
6/30/19,JERUSALEM-SHEKEL,3.567,6/30/19
6/30/19,JORDAN-DINAR,0.708,6/30/19
6/30/19,KAZAKHSTAN-TENGE,379.85,6/30/19
6/30/19,KENYA-SHILLING,102.24,6/30/19
6/30/19,KOREA-WON,1154.45,6/30/19
6/30/19,KOSOVO-EURO,0.879,6/30/19
6/30/19,KUWAIT-DINAR,0.303,6/30/19
6/30/19,KYRGYZSTAN-SOM,69.6,6/30/19
6/30/19,LAOS-KIP,8645,6/30/19
6/30/19,LATVIA-EURO,0.879,6/30/19
6/30/19,LEBANON-POUND,1500,6/30/19
6/30/19,LESOTHO-SOUTH AFRICAN RAND,14.168,6/30/19
6/30/19,LIBERIA-DOLLAR,195.3,6/30/19
6/30/19,NORWAY-KRONE,8.52,6/30/19
6/30/19,PAKISTAN-RUPEE,157.5,6/30/19
6/30/19,PALAU-DOLLAR,1,6/30/19
6/30/19,PANAMA-BALBOA,1,6/30/19
6/30/19,PAPUA NEW GUINEA-KINA,3.3,6/30/19
6/30/19,PARAGUAY-GUARANI,6184.35,6/30/19
6/30/19,PERU-NUEVO SOL,3.289,6/30/19
6/30/19,PHILIPPINES-PESO,51.346,6/30/19
6/30/19,POLAND-ZLOTY,3.737,6/30/19
6/30/19,PORTUGAL-EURO,0.879,6/30/19
6/30/19,QATAR-RIYAL,3.641,6/30/19
6/30/19,ROMANIA-NEW LEU,4.162,6/30/19
6/30/19,RUSSIA-RUBLE,62.091,6/30/19
6/30/19,RWANDA-FRANC,910,6/30/19
6/30/19,SAO TOME & PRINCIPE-NEW DOBRAS,21.563,6/30/19
6/30/19,SAO TOME & PRINCIPE-DOBRAS,21.563,6/30/19
6/30/19,SAUDI ARABIA-RIYAL,3.75,6/30/19
6/30/19,SENEGAL-CFA FRANC,573.5,6/30/19
6/30/19,SERBIA-DINAR,103.77,6/30/19
6/30/19,SEYCHELLES-RUPEE,13.54,6/30/19
6/30/19,SIERRA LEONE-LEONE,9046,6/30/19
6/30/19,SINGAPORE-DOLLAR,1.353,6/30/19
6/30/19,SLOVAK REPUBLIC-EURO,0.879,6/30/19
6/30/19,SLOVENIA-EURO,0.879,6/30/19
6/30/19,SOLOMON ISLANDS-DOLLAR,7.752,6/30/19
6/30/19,SOMALI-SHILLING,575,6/30/19
6/30/19,SOUTH AFRICA-RAND,14.168,6/30/19
6/30/19,SOUTH SUDANESE-POUND,158.66,6/30/19
6/30/19,SPAIN-EURO,0.879,6/30/19
6/30/19,SRI LANKA-RUPEE,176.4,6/30/19
6/30/19,ST LUCIA-EC DOLLAR,2.7,6/30/19
6/30/19,SUDAN-SUDANESE POUND,45,6/30/19
6/30/19,SURINAME-GUILDER,7.52,6/30/19
6/30/19,SWAZILAND-LILANGENI,14.168,6/30/19
6/30/19,SWEDEN-KRONA,9.284,6/30/19
6/30/19,SWITZERLAND-FRANC,0.976,6/30/19
6/30/19,SYRIA-POUND,515,6/30/19
6/30/19,TAIWAN-DOLLAR,31.004,6/30/19
6/30/19,TAJIKISTAN-SOMONI,9.4,6/30/19
6/30/19,TANZANIA-SHILLING,2293,6/30/19
6/30/19,THAILAND-BAHT,30.67,6/30/19
6/30/19,TIMOR-LESTE DILI,1,6/30/19
6/30/19,TOGO-CFA FRANC,573.5,6/30/19
6/30/19,TONGA-PA'ANGA,2.177,6/30/19
6/30/19,TRINIDAD & TOBAGO-DOLLAR,6.711,6/30/19
6/30/19,TUNISIA-DINAR,2.883,6/30/19
6/30/19,TURKEY-LIRA,5.755,6/30/19
6/30/19,TURKMENISTAN-NEW MANAT,3.491,6/30/19
6/30/19,UGANDA-SHILLING,3690,6/30/19
6/30/19,UKRAINE-HRYVNIA,26.145,6/30/19
6/30/19,UNITED ARAB EMIRATES-DIRHAM,3.673,6/30/19
6/30/19,LIBYA-DINAR,1.388,6/30/19
6/30/19,LITHUANIA-EURO,0.879,6/30/19
6/30/19,LUXEMBOURG-EURO,0.879,6/30/19
6/30/19,UNITED KINGDOM-POUND STERLING,0.788,6/30/19
6/30/19,URUGUAY-PESO,35.21,6/30/19
6/30/19,UZBEKISTAN-SOM,8540,6/30/19
6/30/19,VANUATU-VATU,112.21,6/30/19
6/30/19,VENEZUELA-BOLIVAR-FUERTE,248832,6/30/19
6/30/19,VENEZUELA-BOLIVAR-SOBERANO,6346.65,6/30/19
6/30/19,VIETNAM-DONG,23300,6/30/19
6/30/19,WESTERN SAMOA-TALA,2.541,6/30/19
